year,geo,gender,value
2017,Portugal,Males,0.833
2017,Portugal,Females,0.16699999999999998
2017,Romania,Males,0.75
2017,Romania,Females,0.25
2017,Slovenia,Males,0.888
2017,Slovenia,Females,0.11199999999999999
2017,Slovakia,Males,0.8440000000000001
2017,Slovakia,Females,0.156
2017,Finland,Males,0.8140000000000001
2017,Finland,Females,0.18600000000000003
2017,Sweden,Males,0.78
2017,Sweden,Females,0.22
2017,United Kingdom,Males,0.7809999999999999
2017,United Kingdom,Females,0.21899999999999997
2017,Iceland,Males,0.742
2017,Iceland,Females,0.258
2017,Norway,Males,0.835
2017,Norway,Females,0.165
2017,Switzerland,Males,0.8490000000000001
2017,Switzerland,Females,0.151
2017,Montenegro,Males,0.745
2017,Montenegro,Females,0.255
2017,North Macedonia,Males,0.768
2017,North Macedonia,Females,0.23199999999999998
2017,Serbia,Males,0.758
2017,Serbia,Females,0.242
2017,Turkey,Males,0.7140000000000001
2017,Turkey,Females,0.28600000000000003
2018,All Europe,Males,0.846
2018,All Europe,Females,0.154
2018,Belgium,Males,0.9259999999999999
2018,Belgium,Females,0.07400000000000001
2018,Bulgaria,Males,0.7559999999999999
2018,Bulgaria,Females,0.244
2018,Czechia,Males,0.899
2018,Czechia,Females,0.10099999999999999
2018,Denmark,Males,0.8390000000000001
2018,Denmark,Females,0.161
2018,Germany,Males,0.865
2018,Germany,Females,0.135
2018,Estonia,Males,0.83
2018,Estonia,Females,0.17
2018,Ireland,Males,0.752
2018,Ireland,Females,0.248
2018,Greece,Males,0.785
2018,Greece,Females,0.215
2018,Spain,Males,0.7909999999999999
2018,Spain,Females,0.209
2018,France,Males,0.8809999999999999
2018,France,Females,0.11900000000000001
2018,Croatia,Males,0.807
2018,Croatia,Females,0.193
2018,Italy,Males,0.805
2018,Italy,Females,0.195
2018,Cyprus,Males,0.755
2018,Cyprus,Females,0.245
2018,Latvia,Males,0.9059999999999999
2018,Latvia,Females,0.09400000000000006
2018,Lithuania,Males,0.851
2018,Lithuania,Females,0.149
2018,Luxembourg,Males,0.861
2018,Luxembourg,Females,0.139
2018,Hungary,Males,0.888
2018,Hungary,Females,0.11199999999999999
2018,Malta,Males,0.77
2018,Malta,Females,0.23
2018,Netherlands,Males,0.8740000000000001
2018,Netherlands,Females,0.126
2018,Austria,Males,0.81
2018,Austria,Females,0.19
2018,Poland,Males,0.904
2018,Poland,Females,0.096
2018,Portugal,Males,0.851
2018,Portugal,Females,0.149
2018,Romania,Males,0.7340000000000001
2018,Romania,Females,0.266
2018,Slovenia,Males,0.8340000000000001
2018,Slovenia,Females,0.166
2018,Slovakia,Males,0.838
2018,Slovakia,Females,0.162
2018,Finland,Males,0.8370000000000001
2018,Finland,Females,0.163
2018,Sweden,Males,0.7809999999999999
2018,Sweden,Females,0.21899999999999997
2018,United Kingdom,Males,0.846
2018,United Kingdom,Females,0.154
2018,Iceland,Males,0.83
2018,Iceland,Females,0.17
2018,Norway,Males,0.8859999999999999
2018,Norway,Females,0.11400000000000006
2018,Switzerland,Males,0.86
2018,Switzerland,Females,0.14
2018,Montenegro,Males,0.6679999999999999
2018,Montenegro,Females,0.332
2018,North Macedonia,Males,0.8029999999999999
2018,North Macedonia,Females,0.19699999999999998
2018,Serbia,Males,0.722
2018,Serbia,Females,0.278
2018,Turkey,Males,0.733
2018,Turkey,Females,0.267
2019,All Europe,Males,0.825
2019,All Europe,Females,0.175
2019,Belgium,Males,0.866
2019,Belgium,Females,0.134
2019,Bulgaria,Males,0.708
2019,Bulgaria,Females,0.292
2019,Czechia,Males,0.92
2019,Czechia,Females,0.08
2019,Denmark,Males,0.8140000000000001
2019,Denmark,Females,0.18600000000000003
2019,Germany,Males,0.862
2019,Germany,Females,0.138
2019,Estonia,Males,0.821
2019,Estonia,Females,0.179
2019,Ireland,Males,0.78
2019,Ireland,Females,0.22
2019,Greece,Males,0.726
2019,Greece,Females,0.27399999999999997
2019,Spain,Males,0.777
2019,Spain,Females,0.223
2019,France,Males,0.779
2019,France,Females,0.221
2019,Croatia,Males,0.836
2019,Croatia,Females,0.16399999999999998
2019,Italy,Males,0.84
2019,Italy,Females,0.16
2019,Cyprus,Males,0.731
2019,Cyprus,Females,0.26899999999999996
2019,Latvia,Males,0.752
2019,Latvia,Females,0.248
2019,Lithuania,Males,0.843
2019,Lithuania,Females,0.157
2019,Luxembourg,Males,0.764
2019,Luxembourg,Females,0.23600000000000002
2019,Hungary,Males,0.863
2019,Hungary,Females,0.13699999999999998
2019,Malta,Males,0.828
2019,Malta,Females,0.172
2019,Netherlands,Males,0.878
2019,Netherlands,Females,0.122
2019,Austria,Males,0.75
2019,Austria,Females,0.25
2019,Poland,Males,0.898
2019,Poland,Females,0.102
2019,Portugal,Males,0.8440000000000001
2019,Portugal,Females,0.156
2019,Romania,Males,0.7390000000000001
2019,Romania,Females,0.261
2019,Slovenia,Males,0.8
2019,Slovenia,Females,0.2
2019,Slovakia,Males,0.866
2019,Slovakia,Females,0.134
2019,Finland,Males,0.858
2019,Finland,Females,0.142
2019,Sweden,Males,0.747
2019,Sweden,Females,0.253
2019,United Kingdom,Males,0.804
2019,United Kingdom,Females,0.196
2019,Iceland,Males,0.77
2019,Iceland,Females,0.23
2019,Norway,Males,0.898
2019,Norway,Females,0.10200000000000004
2019,Switzerland,Males,0.86
2019,Switzerland,Females,0.14
2019,Montenegro,Males,0.7140000000000001
2019,Montenegro,Females,0.2859999999999999
2019,North Macedonia,Males,0.7659999999999999
2019,North Macedonia,Females,0.23399999999999999
2019,Serbia,Males,0.721
2019,Serbia,Females,0.27899999999999997
2019,Turkey,Males,0.747
2019,Turkey,Females,0.253
